ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude
28547,CAMP LEJEUNE,Camp Lejeune,NC,ONSLOW,Onslow,34.691189,-77.343973
28551,LA GRANGE,La Grange,NC,LENOIR,Lenoir,35.317633,-77.77143
28552,LOWLAND,Lowland,NC,PAMLICO,Pamlico,35.292336,-76.570852
28553,MARSHALLBERG,Marshallberg,NC,CARTERET,Carteret,34.72989,-76.520357
28554,MAURY,Maury,NC,GREENE,Greene,35.48797,-77.60043
28555,MAYSVILLE,Maysville,NC,JONES,Jones,34.852952,-77.233579
28556,MERRITT,Merritt,NC,PAMLICO,Pamlico,35.116111,-76.675154
28557,MOREHEAD CITY,Morehead City,NC,CARTERET,Carteret,34.738947,-76.766436
28560,NEW BERN,New Bern,NC,CRAVEN,Craven,35.099246,-76.981852
28561,NEW BERN,New Bern,NC,CRAVEN,Craven,35.1084,-77.0446
28562,NEW BERN,New Bern,NC,CRAVEN,Craven,35.071026,-77.114132
28563,NEW BERN,New Bern,NC,CRAVEN,Craven,35.1084,-77.0446
28564,NEW BERN,New Bern,NC,CRAVEN,Craven,35.1084,-77.0446
28584,SWANSBORO,Swansboro,NC,ONSLOW,Onslow,34.74003,-77.109483
28585,TRENTON,Trenton,NC,JONES,Jones,35.081038,-77.482354
28586,VANCEBORO,Vanceboro,NC,CRAVEN,Craven,35.310312,-77.181617
28587,VANDEMERE,Vandemere,NC,PAMLICO,Pamlico,35.188808,-76.66897
28589,WILLISTON,Williston,NC,CARTERET,Carteret,34.805568,-76.499234
28590,WINTERVILLE,Winterville,NC,PITT,Pitt,35.522956,-77.411902
28594,EMERALD ISLE,Emerald Isle,NC,CARTERET,Carteret,34.663864,-77.006645
28601,HICKORY,Hickory,NC,CATAWBA,Catawba,35.780393,-81.33651
28602,HICKORY,Hickory,NC,CATAWBA,Catawba,35.67682,-81.385287
28603,HICKORY,Hickory,NC,CATAWBA,Catawba,35.7334,-81.3416
